CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER,645;;CENTRO;TRES LAGOAS;MS;Gasolina C Comum;4,436;28/06/2018 17:49
00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER,645;;CENTRO;TRES LAGOAS;MS;Etanol;3,482;28/06/2018 17:49
00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER,645;;CENTRO;TRES LAGOAS;MS;Diesel S500;3,644;28/06/2018 17:49
00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER,645;;CENTRO;TRES LAGOAS;MS;Diesel S10;3,734;28/06/2018 17:49
00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163,S/N;KM 786;ZONA RURAL;COXIM;MS;Gasolina C Comum;4,349;09/12/2018 19:06
00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163,S/N;KM 786;ZONA RURAL;COXIM;MS;Etanol;3,599;09/12/2018 19:06
00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163,S/N;KM 786;ZONA RURAL;COXIM;MS;Diesel S500;3,499;09/12/2018 19:06
00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163,S/N;KM 786;ZONA RURAL;COXIM;MS;Diesel S10;3,599;09/12/2018 19:06
00360990000179;POSTO DOS ANOES LTDA;QUADRA SHC/SUL SQ,315;BLOCO A PLL 01;ASA SUL;BRASILIA;DF;Gasolina C Comum;4,289;28/11/2018 09:34
00360990000179;POSTO DOS ANOES LTDA;QUADRA SHC/SUL SQ,315;BLOCO A PLL 01;ASA SUL;BRASILIA;DF;Etanol;3,49;28/11/2018 09:34
00360990000179;POSTO DOS ANOES LTDA;QUADRA SHC/SUL SQ,315;BLOCO A PLL 01;ASA SUL;BRASILIA;DF;Diesel S10;4,05;28/11/2018 09:34
00480284000160;POSTO CENTRAL;AVENIDA GUAXENDUBA,200;;CENTRO;SAO LUIS;MA;Gasolina C Comum;4,169;13/11/2018 15:13
00480284000160;POSTO CENTRAL;AVENIDA GUAXENDUBA,200;;CENTRO;SAO LUIS;MA;Diesel S10;3,659;13/11/2018 15:13
